comment_id,clean_text,normalized_text,suggested_label,sentiment_label,manual_label
UgyJaNGvqbxApBRQkp14AaABAg,saya sangat setuju dengan pendapat ini,tuju dapat,,unknown,
Ugxb2m9MvSLYL7m5kDp4AaABAg,alasan pertama memang mengerikan,alas keri,,unknown,
UgxgOb12dG2j8yaXf6l4AaABAg,kembalikan sy,kembali sy,,unknown,
UgzkC0_FB2n8QigdtAJ4AaABAg,kena siap ia memang negaraku,kena negara,patriotic_sadness,unknown,
Ugx3ia13RsO8FTXv9cN4AaABAg,tak apa kita bisa buat piala emas kita punya tambang emas dipapua pertalit aja bisa kita buat jadi pertamax apalagi cuma piala,piala emas tambang emas dipapua pertalit aja pertamax piala,,unknown,
UgyH8YNUpWqEFy5MrPd4AaABAg,biasax kesempatan tidak datang kedua kalix,biasax sempat kalix,,unknown,
Ugy1S7CiDWm5NUVtFRF4AaABAg,karma dari sty,karma sty,coaching_staff,unknown,
UgwGcXiLLKnSC1Lu1SV4AaABAg,mafia bola mafia bola mafia bola,mafia bola mafia bola mafia bola,pssi_management,unknown,
UgyP_d4G82y90K9IXCh4AaABAg,yang marusak pamain p s s i dan esko nya,marusak pamain p s s i esko nya,,unknown,
Ugx7Iuncb5RobYsBhyN4AaABAg,blunder blunder dan blunderr rr,blunder blunder blunderr rr,,unknown,
UgyJaNGvqbxApBRQkp14AaABAg,saya sangat setuju dengan pendapat ini,tuju dapat,,unknown,
Ugxb2m9MvSLYL7m5kDp4AaABAg,alasan pertama memang mengerikan,alas keri,,unknown,
UgxgOb12dG2j8yaXf6l4AaABAg,kembalikan sy,kembali sy,,unknown,
UgzkC0_FB2n8QigdtAJ4AaABAg,kena siap ia memang negaraku,kena negara,patriotic_sadness,unknown,
UgwF1-IIIUIQIt3uamt4AaABAg,tidak ada regeneration france spain inggris germany portugal masih consistent,regeneration france spain inggris germany portugal consistent,,unknown,
UgzG4Ly_BwVtnJcpDqZ4AaABAg,setelah kasus suap menyuap di liga nya sekarang italy berturut turut jatih,suap suap liga nya italy jatih,,unknown,
UgyW0ynGRfQ8kppOPpx4AaABAg,materazzi harus sowan sungkem dulu sama zidane,materazzi sowan sungkem zidane,,unknown,
