comment_id,video_id,text,author,author_channel_id,like_count,reply_count,published_at,updated_at,is_reply,parent_comment_id
UgwpCWy1WAiCsc_Ml2t4AaABAg,lDtSjKb_8Jo,Setuju sty jadikan pelatih timnas lagi,@abdurahmansuganda9242,{'value': 'UCTXlu8yM12hUgX5gzPp66Pw'},12,0,2025-10-12T04:42:13Z,2025-10-12T04:42:13Z,False,
Ugyuwlh-fxjqXP3kTpF4AaABAg,lDtSjKb_8Jo,Penyebabnya tu 1 towel slalu kritik sty sampai d pecat.2 karna mengganti pelatih lama dengan petrik padahal sty membawa kemenangan atas Arab Saudi 3 dengan adanya petrik slalu otak Atik pemain 4 petrik menurunkan pemain inti malah mencoba menurunkan klok .berkam.sayuri d waktu yg tidak tepat coba mereka bertiga d main kan babak 2 .menit k 75 mungkin indonesi bisa unggul atas Arab saudi.dan coba yg d turun pemain seperti lawan Irak  mungkin Indonesia bisa menang lawan Arab Saudi yg dlihat hanya lawan Irak permainan timnas hebat walaupun hrs kalah tapi penonton terhibur atas perjuangan timnas. d pelatihan  petrik hanya lawan Irak yg mantap walaupun kalah it hebat bukan otak Atik pemain yg gak layak coret,@fharadecafhara7792,{'value': 'UCYH60Lto7uzEo5hODGr1g_g'},10,0,2025-10-12T05:49:39Z,2025-10-12T05:49:39Z,False,
Ugy1jiyTYqbxAs4EGFZ4AaABAg,lDtSjKb_8Jo,"Kegagalan yg paling fatal terletak pada pelatih Patrick klivert , harus tanggung jawab dan pecat sekarang jg panggil Sty kembali untuk melatih atimnas Garuda dan PSSI harus minta maaf atas kesalahannya kpda Sty",@AgusBudiono-i4q,{'value': 'UC4h2Iq4TYfCRH2BBdrvmVrA'},4,0,2025-10-12T07:25:47Z,2025-10-12T07:25:47Z,False,
UgxaBfkiaxCQrkix04l4AaABAg,lDtSjKb_8Jo,Klu ingin pildum datangkn pelatih jepang haji m suda jamin kwalitas. Tdk perlu disesali masuk ronde 4 suda luar biasa dr raking dibawah kambojo skrng mendekati 100,@amriwibowo5788,{'value': 'UCIlGgjkc1Cbq_ta8-RmjQSA'},4,0,2025-10-12T09:17:51Z,2025-10-12T09:17:51Z,False,
Ugybfe55c-dN-LqVw1x4AaABAg,lDtSjKb_8Jo,Speechless...Ternyata pemilihan Pelatih Patrick Kluivert yg reputasinya jelek tanpa prestasi adalah Blunder Besar Indonesia !!!,@BudiyantoKartijaya2024,{'value': 'UC5jRfVh7MYaUVQzlFjXqwcg'},13,1,2025-10-12T03:41:40Z,2025-10-12T03:41:40Z,False,
UgxnmZf4P_NeqJt6j-d4AaABAg,lDtSjKb_8Jo,"Hidup Erick Thohir hidup Patrick Kluivert, jadikan lagi Iwan bule menjadi ketua umum PSSI yang sudah memilih STY jadi pelatih Indonesia",@supriyadi-n3f,{'value': 'UCA84xvYeXq-Ayjei4SsxL-w'},7,0,2025-10-12T02:09:41Z,2025-10-12T02:09:41Z,False,
UgwWNb-ZbxCkp-DEx6t4AaABAg,lDtSjKb_8Jo,"Akhirnya terbukti lagi Pernyataan GUS DUR, kegagalan timnas ini disebabkan oleh Mafia bola dibelakang Esco PSSI. Harus org2 ESCO PSSI malu hati dan segera mengundurkan diri saja. (Itu jika masih punya harga diri dan rasa malu).",@TahtaadiAdi,{'value': 'UCJidKA0Z8NA-qoySRRC_chA'},8,0,2025-10-12T04:22:34Z,2025-10-12T04:22:34Z,False,
UgxocedM1BCMQ-avVlh4AaABAg,lDtSjKb_8Jo,Kembalikan STY jadi pelatih Timnas,@MartinPaun,{'value': 'UCUam7ZOGksirKlY9vodyLPQ'},9,0,2025-10-12T04:26:26Z,2025-10-12T04:26:26Z,False,
Ugz_hQi_bx9wVrq-6z54AaABAg,lDtSjKb_8Jo,"4 faktor ;
1. Erik
2. Cluivert
3. Towel
4. Justin",@firdauskunoli7635,{'value': 'UC1EfYjJJvqoeRB_ElUaFNHQ'},9,0,2025-10-12T04:31:44Z,2025-10-12T04:31:44Z,False,
UgwtBW38IYywWezoajp4AaABAg,lDtSjKb_8Jo,gara2 ngikutin towel ......😊,@ChiqitaNaysilaharistyo,{'value': 'UCqDmFU0uHQAhpAldA54YO4Q'},6,1,2025-10-12T04:49:25Z,2025-10-12T04:49:25Z,False,
Ugy8eJHu20kqLE-dLd94AaABAg,lDtSjKb_8Jo,"Pemecatan STY bukan karena kritikan Towel ke STY. Maksud towel cari pelati yang reputasinya bagus lebih dari STY, bukan pelati seperti klivert. Yang blunder Erik Tohir dan Esco PSSI milih pelati🎉",@RonaldAdua,{'value': 'UC4_CCLRcfgBjPD2EYcWWlGQ'},3,1,2025-10-12T08:44:55Z,2025-10-12T08:44:55Z,False,
Ugyq-XuwrhBfmVc6TOB4AaABAg,lDtSjKb_8Jo,"Faktornya hanya satu;
1. Memecat STY",@korneliussantoso8754,{'value': 'UCo7ux7weJo9Ec3gPtgdNqiw'},13,2,2025-10-12T03:04:55Z,2025-10-12T03:04:55Z,False,
UgyQG__Scp98FYelyP14AaABAg,lDtSjKb_8Jo,"Saya sudah bilang wajah seorang pelatih itu bisa menunjukkan kecerdasan dan membuat lawan gigrik. Cobalah kita lihat bora milutinovic, luis menoti, lipi, STY, bearzot, beckenbauet, ancheloti. Kalau pelatih hanya plonga plongo ya apa yg diharapkan.",@hariyantohari7078,{'value': 'UCPeTIYloKmKG7jPQjnmZhjw'},1,0,2025-10-12T08:38:23Z,2025-10-12T08:38:23Z,False,
Ugyiu-8I9fRK9Q9zPdN4AaABAg,lDtSjKb_8Jo,"Siapa yg masih ingat kata""gusdur 20th yg lalu katanya hanya orang yg bermata sipit yg bisa membawa timnas ke pildum yg masih ingat acungkan jempolmu",@PakYani-b6e,{'value': 'UC044PiX5bl8ahP1m5ZvnWQA'},0,0,2025-10-12T11:13:08Z,2025-10-12T11:13:08Z,False,
UgyJaNGvqbxApBRQkp14AaABAg,lDtSjKb_8Jo,Saya sangat setuju dengan pendapat ini.,@Ridwan-s8h,{'value': 'UC5_3wRT6Fc245in2PVPVOIA'},2,0,2025-10-12T07:30:39Z,2025-10-12T07:30:39Z,False,
UgzX9lKX1WpNZbR9rZp4AaABAg,lDtSjKb_8Jo,"Intinya :
Hargai proses, jgn maunya instan (Turnamen2,  pencarian bakat, pelatihan, anggaran).

Bola jgn dibawa ke politik .

Reformasi pssi  / kkn.

Track record kepelatihan pelatih.",@kerr5970,{'value': 'UC7EY8OB7z5hACIjGqbrCSBw'},2,0,2025-10-12T06:30:04Z,2025-10-12T06:30:04Z,False,
Ugy4uttespRvnTjAU_l4AaABAg,lDtSjKb_8Jo,Jangan salahkan pemain kalo pemain Uda jelas berjuang tapi yg bikin blunder sty dipecat itu menjadi kesalahan ibarat permainan catur salah langkah menjadi patal akibat nya sekarang terbukti kan silahkan rakyat mengkeritik supaya pak Erik jangan salah langkah untuk kedua kalinya good bye timnas qu tercinta✋✋❤❤,@HanGimang,{'value': 'UCactlJ_QkIyLutDzSxabKig'},2,0,2025-10-12T08:39:44Z,2025-10-12T08:39:44Z,False,
UgxpbS1gjXQu4sbL5gt4AaABAg,lDtSjKb_8Jo,"Sangat tipis indonesia bisa lolos ke pildun,pertama,dari rangkin irak lebih kuat,waktu  istirhat lebih sedikit di bandingkn irak dan arab saudi,ketiga wasit dari cina dendam cina telah tumbang di tgn indonesia,ke empat,kepengurusan lebih cepat mngmbil keputusan menganti pelatih",@misterblack3348,{'value': 'UCgDIZJ8R3AZsDGRN7OJHMjQ'},1,0,2025-10-12T07:55:38Z,2025-10-12T07:55:38Z,False,
UgyBDfK8o13y7bUaD054AaABAg,lDtSjKb_8Jo,Erik Tohir yang paling bertanggung jawab.,@vichopoetramataram3521,{'value': 'UCV1SpuEPIOUfYcJTIwhmN2g'},2,0,2025-10-12T05:12:55Z,2025-10-12T05:12:55Z,False,
UgwncJgwq-PeVyTP9Fx4AaABAg,lDtSjKb_8Jo,Ecxo PSSI yg di bersihkan... Ada mafia nya,@RohimMukhtar,{'value': 'UCtvnXZ-bRB7EL2vbSmIRnnA'},3,0,2025-10-12T09:04:02Z,2025-10-12T09:04:02Z,False,
Ugz7n67fDdbMQfv_RHV4AaABAg,lDtSjKb_8Jo,"Kesalahan besar patrick Kluivert tidak membawa ivar jenner dan marcelino, bahkan sudah membuang Witan sejak di pilih menjadi pelatih, padahal witan memiliki andil besar memberikan assit pada Ragnar saat sandy/ragnar mencetak gol ke gawang arab saudi di kandang, 
Kemudian Marcelino yg mencetak dua gol ke gawang arab saudi serta ivar jenner yg memberikan assist saat Ragnar mencetak gol ke gawang Bahrain",@ronaldsurya182,{'value': 'UChhKscIjB5jcnGXXq3L1Cng'},1,0,2025-10-12T05:11:37Z,2025-10-12T05:11:37Z,False,
UgzJSQrw_hnacWBjK014AaABAg,lDtSjKb_8Jo,Kekuatan lini Back belakang Iraq mempertahankan gawangnya sangat sidnipikan ..,@SuyatnoSabrani,{'value': 'UCd3dzUILODlfGEmQ25csuKQ'},0,0,2025-10-12T12:30:58Z,2025-10-12T12:30:58Z,False,
Ugz_rKPo5eFCKY2YMW54AaABAg,lDtSjKb_8Jo,Jangan putus asa...timnas Garuda ku..masih ada piala dunia thn 2030,@NurAliem-c8j,{'value': 'UCa0bcCmT_mUY6Oylgr6fFzQ'},0,0,2025-10-12T14:52:11Z,2025-10-12T14:52:11Z,False,
Ugz03ekW9FRc9ISIO6x4AaABAg,lDtSjKb_8Jo,"PSSI tidak sabar menghadapi situasi, memecat sty bukan hal baik. Ganti pelatih pun riskan. Jika bersabar mungkin hasilnya lain. Sudahlah, mungkin juga belum saatnya timnas Indonesia manggung di pagelaran dunia. Nunggu 5 tahun lagi.",@priyatno9343,{'value': 'UC_o8wasmk8oFAPbm-C3btFw'},2,0,2025-10-12T04:39:28Z,2025-10-12T04:39:28Z,False,
UgxnWfsYRdexJYUbY7R4AaABAg,lDtSjKb_8Jo,Karma dari memecat sty,@potret_54,{'value': 'UCdGbzhAT2KJoYrbYkdmjhAg'},5,0,2025-10-12T07:29:18Z,2025-10-12T07:29:18Z,False,
Ugxb2m9MvSLYL7m5kDp4AaABAg,lDtSjKb_8Jo,Alasan pertama memang mengerikan,@DayG79,{'value': 'UColH1LxilXEIviOaknTlCVg'},2,0,2025-10-11T23:58:16Z,2025-10-11T23:58:16Z,False,
UgzeLStOLBdhR10Jhot4AaABAg,lDtSjKb_8Jo,tujuan erik tohir ganti pelatih ke kluivert untuk memudahkan naturalisasi pemain belanda campuran indo karena banyak dari belanda ....untuk ke depan pilih maurinho jadi pelatih timnas senior atau pep guardiola ..tiru timnas oman dan uea yg pelatih nya benar2 banyak ide taktik strategi kreatif pelatih mereka bisa merubah taktik bermain dalam pertandingan sedang berlangsung di lapangan dalam tempo 10 menit bisa dirubah taktik karena kejelian pelatih akhirnya lawan bingung kemudian pemain uni emirat arab bisa membalikkan keadaan dan menang,@Gairahkreatortv,{'value': 'UCsV7rDLYzDpbg165K5Ks6Eg'},0,0,2025-10-12T19:08:51Z,2025-10-12T19:08:51Z,False,
UgylgvGLTK33n5-C6OV4AaABAg,lDtSjKb_8Jo,Wasit China harus dipertanyakan kembali.pelanggaran Irak di dalam kotak pinalti menghasilkan pemain Irak dapat kartu merah...kenapa Indonesia tidak dapat pinalti,@dafifay7236,{'value': 'UCzDjnmAKrO371KvYgMkxQag'},1,1,2025-10-12T09:03:56Z,2025-10-12T09:03:56Z,False,
