video_id,title,description,channel_title,channel_id,published_at,view_count,like_count,comment_count,favorite_count,duration,definition,caption
lDtSjKb_8Jo,4 Penyebab Timnas Indonesia Gagal Lolos ke Piala Dunia 2026 Setelah Kalah dari Irak di Ronde 4,"🇮🇩 4 Penyebab Timnas Indonesia Gagal Lolos ke Piala Dunia 2026 Setelah Kalah dari Irak di Ronde 4! ⚽
Harapan Timnas Indonesia untuk melangkah ke Piala Dunia 2026 harus pupus setelah kekalahan tipis 1-0 dari Irak di laga kedua Grup B ronde keempat Kualifikasi Piala Dunia 2026 zona Asia. Dalam laga penuh tensi tersebut, skuad Garuda sejatinya tampil dominan dan menciptakan banyak peluang, namun satu kesalahan fatal menjadi petaka.

Dalam video kali ini, Raftel Sport akan membahas secara lengkap 4 faktor utama penyebab Indonesia gagal melaju ke Piala Dunia 2026, mulai dari:
1️⃣ Pergantian pelatih dari Shin Tae-yong ke Patrick Kluivert
2️⃣ Strategi Patrick Kluivert yang dinilai miskin taktik
3️⃣ Blunder Rizky Ridho di lini pertahanan
4️⃣ Masalah klasik finishing yang belum juga teratasi

Simak ulasan lengkapnya dan cari tahu apa yang sebenarnya terjadi di balik kegagalan ini.
Apakah kesalahan terletak pada pelatih, pemain, atau kebijakan federasi?

👇 Jangan lupa untuk:
✅ Like video ini
💬 Tulis pendapatmu di kolom komentar
🔔 Subscribe dan aktifkan notifikasi agar tidak ketinggalan update terbaru seputar sepak bola Indonesia!

#TimnasIndonesia #PialaDunia2026 #IndonesiaVsIrak #PatrickKluivert #ShinTaeYong #ErickThohir #KualifikasiPialaDunia #GarudaMuda #BeritaBola #SepakBolaIndonesia #RizkyRidho #RaftelSport #WorldCup2026 #GarudaFight #KualifikasiZonaAsia #IndonesiaFootball",Raftelsport,UCqyE9D0nhd15MI5sYV11vXQ,2025-10-11T23:30:18Z,20479,137,140,0,PT10M2S,hd,false
ylTD9tWEBJw,Runtuhnya Raksasa yang Kini Terkutuk Gak Lolos Piala Dunia! Italia Gagal Lolos Langsung Pildun 26,"Runtuhnya Raksasa yang Kini Terkutuk Gak Lolos Piala Dunia! Italia Gagal Lolos Langsung Pildun 26

https://youtu.be/ylTD9tWEBJw

💥 Italia Kembali Terpuruk!
Raksasa Eropa yang dulu disegani kini kembali mengalami nasib pahit. Italia gagal lolos langsung ke Piala Dunia 2026, membuat kutukan mereka semakin terasa nyata setelah sebelumnya absen di dua edisi Pildun berturut-turut. 🇮🇹💔

Apa yang sebenarnya terjadi pada Azzurri?
Mengapa tim sebesar Italia terus terjebak dalam masalah yang sama?
Dan apakah mereka masih punya peluang melalui play-off?

Semua pembahasannya lengkap ada di video ini! ⚽🔥

Jangan lupa LIKE, KOMENTAR, dan SUBSCRIBE STARTING ELEVEN MOMEN biar nggak ketinggalan berita transfer dan analisis sepak bola dunia! ⚽🔥

#startingelevenmomen 
#Italia #TimnasItalia #Azzurri #PialaDunia2026 #WorldCup2026 #ItaliaGagalLolos #EuropeanQualifiers #SepakBolaDunia  #RoadToWorldCup #Pildun2026 

📖 (Jika kamu suka analisis bola mendalam, silakan cek video-video “Starting Eleven Momen” lainnya)

Beli Kaos Edisi Timnas! Disini ⬇ ⬇ ⬇
https://starting-eleven-merch.com/Tim... 

---------------------------------------
---------------------------------------

Beli Kaos Bola Official Merchandise Starting Eleven! Disini ⬇️ ⬇️ ⬇️
https://starting-eleven-merch.com/

---------------------------------------
---------------------------------------

KERJASAMA
WhatsApp Mas Jo : 0823-2926-1306

---------------------------------------
---------------------------------------

Dapatkan Konten Eksklusif Hanya dengan Gabung di Saluran Whatsapp Starting Eleven. KLIK DI SINI !!! ⬇️ ⬇️ ⬇️ 
https://whatsapp.com/channel/0029VaeK...

------------------------------------------------------------------------------------------------------------------------------------------------------------

Sebagian video, foto dan musik yang kami tayangkan bukan milik Starting Eleven. Pihak kami tidak mengklaim video, foto dan musik tersebut sebagai milik kami, karena kami sangat menghormati para pemiliknya.

FAIR USE DISCLAIMER:
Penafian Hak Cipta: - Berdasarkan pasal 107 Undang-undang hak cipta tahun 1976, tunjangan diberikan untuk PENGGUNAAN FAIR untuk tujuan seperti kritik, komentar, pelaporan berita, pengajaran, beasiswa, dan penelitian. Penggunaan wajar adalah penggunaan yang diizinkan oleh undang-undang hak cipta yang mungkin saja melanggar. Penggunaan nirlaba, pendidikan, atau pribadi memberi keseimbangan demi mendukung PENGGUNAAN WAJAR.

Copyright Disclaimer: - Under section 107 of the copyright Act 1976, allowance is mad for FAIR USE for purpose such a as criticism, comment, news reporting, teaching, scholarship and research. Fair use is a use permitted by copyright statues that might otherwise be infringing. Non- Profit, educational or personal use tips the balance in favor",Starting Eleven Momen,UCq-LgaSWd2SxQqF7iBA1A2g,2025-11-17T04:04:41Z,97472,1054,523,0,PT11M20S,hd,false
XvyUI9qZ_YA,Rapor Bobrok Kluivert! Timnas Gagal ke Piala Dunia 2026 |iNews Sore (12/10),"Pelatih timnas Indonesia, Patrick Kluivert, kini menghadapi tekanan besar usai gagal membawa Garuda lolos ke Piala Dunia 2026. Dari 6 laga kualifikasi, hanya 2 kemenangan berhasil diraih sebuah rapor yang dinilai mengecewakan publik dan media.

Berita Selengkapnya baca di: https://inews.id/news

Join membership channel ini dan nikmati berbagai konten eksklusif:
https://www.youtube.com/channel/UCoSkllfpgmFHtbVK835QaQg/join

📰 iNews: Channel Berita Terlengkap, Tercepat, dan Terpercaya di Indonesia
Dapatkan berita terbaru dari seluruh Indonesia dan dunia, mulai dari politik, ekonomi, hukum, kriminal, olahraga, hiburan, hingga peristiwa penting lainnya. Dengan liputan langsung dari lokasi kejadian dan jurnalis profesional, iNews selalu menghadirkan informasi yang cepat, akurat, dan berimbang.

📊 iNews menjadi sumber berita pilihan jutaan masyarakat yang ingin selalu update setiap saat. Jadilah bagian dari komunitas berita terbesar di Indonesia dan nikmati tayangan eksklusif yang tidak Anda temukan di tempat lain.

📌 Jangan lupa
✅ Klik SUBSCRIBE untuk bergabung dengan jutaan penonton setia kami
✅ Aktifkan Lonceng Notifikasi agar tidak ketinggalan berita penting
✅ Bagikan video ini agar lebih banyak orang mendapatkan informasi yang benar

Follow WA Channel https://whatsapp.com/channel/0029Va7scI1LdQekZvLynv1H
Follow our Official TikTok https://www.tiktok.com/@officialinews
Follow our Official Twitter https://twitter.com/officialinews_
Like our Official Facebook https://www.facebook.com/OfficialiNews
Follow our Official Instagram https://www.instagram.com/officialiNews

#iNews #BeritaTerkini #BreakingNews #BeritaHariIni #BeritaNasional #BeritaIndonesia #BeritaDunia #TerlengkapTercepatTerpercaya",Official iNews,UCoSkllfpgmFHtbVK835QaQg,2025-10-12T10:47:01Z,42664,308,515,0,PT8M45S,hd,false
8e_BYF39dQA,"SELESAI! TIMNAS GAGAL KE PIALA DUNIA 2026, BUAT APA PATRICK KLUIVERT DIPERTAHANKAN?",Review oertandingan round empat babak kualifikasi piala dunia 2026 antara Irak vs Indonesia yang berakhir untuk kemenangan Irak dengan skor 1-0,Bola Bung Binder,UCirfI35e28WWuMITpWJlwhw,2025-10-12T10:00:06Z,461683,10470,6512,0,PT18M24S,hd,false
r5XwB12TaFQ,🔴FANS WAJIB TAHU! Orang Ini Harus Mundur Jika Timnas Gagal ke Piala Dunia 2026,"berita sepak bola indonesia terbaru hari ini. 
🔴FANS WAJIB TAHU! Orang Ini Harus Mundur Jika Timnas Gagal ke Piala Dunia 2026
🔴KECEPLOSAN! Orang Ini Harus Mundur Jika Indonesia Gagal ke Piala Dunia 2026.
coach justin blak-blakan sebut erick thohir berdiskusi dengan nya soal pergantian pelatih,sebelum ShinTae-yong di pecat sebagai pelatih Timnas Indonesia. 

#beritasepakbola #timnasindonesia #sepakbola #reaksinetizen #eriktohir 

Tags:

@Aljabbar1984 ,
coach justinus, coach justin 
, berita bola terbaru 2025, berita bola terbaru hari ini, berita sepak bola 
, berita sepak bola terbaru hari ini, berita sepak bola hari ini, piala dunia 2026, kualifikasi piala dunia 2026, timnas indonesia, lolos ke piala dunia 
, indonesia lolos ke piala dunia, berita terkini, erick thohir",AL JABBAR ,UCE_0-Q4gdZrUKpz3nhMYHCA,2025-09-12T11:36:01Z,185469,1160,1088,0,PT8M1S,hd,false
BaPKT35Zq6s,"Gagal ke Piala Dunia! Thom Haye, Ole hingga Patrick Kluivert Menangis | Kualifikasi Piala Dunia 2026","Berita Selengkapnya baca di: https://inews.id/news

Join membership channel ini dan nikmati berbagai konten eksklusif:
https://www.youtube.com/channel/UCoSkllfpgmFHtbVK835QaQg/join

📰 iNews: Channel Berita Terlengkap, Tercepat, dan Terpercaya di Indonesia
Dapatkan berita terbaru dari seluruh Indonesia dan dunia, mulai dari politik, ekonomi, hukum, kriminal, olahraga, hiburan, hingga peristiwa penting lainnya. Dengan liputan langsung dari lokasi kejadian dan jurnalis profesional, iNews selalu menghadirkan informasi yang cepat, akurat, dan berimbang.

📊 iNews menjadi sumber berita pilihan jutaan masyarakat yang ingin selalu update setiap saat. Jadilah bagian dari komunitas berita terbesar di Indonesia dan nikmati tayangan eksklusif yang tidak Anda temukan di tempat lain.

📌 Jangan lupa
✅ Klik SUBSCRIBE untuk bergabung dengan jutaan penonton setia kami
✅ Aktifkan Lonceng Notifikasi agar tidak ketinggalan berita penting
✅ Bagikan video ini agar lebih banyak orang mendapatkan informasi yang benar

Follow WA Channel https://whatsapp.com/channel/0029Va7scI1LdQekZvLynv1H
Follow our Official TikTok https://www.tiktok.com/@officialinews
Follow our Official Twitter https://twitter.com/officialinews_
Like our Official Facebook https://www.facebook.com/OfficialiNews
Follow our Official Instagram https://www.instagram.com/officialiNews

#thomhaye #jayidzes #kevindikstimnas #timnasindonesia",Official iNews,UCoSkllfpgmFHtbVK835QaQg,2025-10-11T22:15:42Z,436617,2467,3966,0,PT11M20S,hd,false
2RErbnMqucI,"[FULL] Timnas Indonesia Belum Lolos Piala Dunia, Bagaimana Nasib Kluivert? Ini Kata Pakar","JAKARTA, KOMPAS.TV - Manajer Timnas Indonesia Sumardji menyatakan akan menyampaikan laporan terkait kegagalan Timnas Indonesia di putaran keempat Kualifikasi Piala Dunia dalam rapat Exco PSSI.

Lebih lanjut, pembahasan juga akan menyinggung nasib Patrick Kluivert usai gagal membawa Timnas Indonesia lolos ke Piala Dunia.

Simak dialog selengkapnya bersama analis sepak bola, M. Kusnaeni.

#timnas #pialadunia2026 #patrickkluivert #kluivert

Baca Juga Mobil Tertabrak Kereta di Medan, Perlintasan Tanpa Palang Sebabkan 3 Kecelakaan Sebulan |INDO UPDATE di https://www.kompas.tv/regional/622784/mobil-tertabrak-kereta-di-medan-perlintasan-tanpa-palang-sebabkan-3-kecelakaan-sebulan-indo-update

 

Artikel ini bisa dilihat di :  https://www.kompas.tv/olahraga/622788/full-timnas-indonesia-belum-lolos-piala-dunia-bagaimana-nasib-kluivert-ini-kata-pakar

Produk dalam video: 

Timnas Indonesia 2025 Jersey Replica Home
Timnas Indonesia 2025 Polo Shirt",KOMPASTV,UC5BMIWZe9isJXLZZWPWvBlg,2025-10-13T10:46:35Z,45323,118,154,0,PT8M6S,hd,false
dCCQ6Phu3VY,"Faktor-faktor Penyebab Kekalahan Garuda, Eks Timnas: Kluivert Harus Diperpanjang | tvOne","Kabar Petang, https://www.tvOnenews.com - Faktor-faktor Penyebab Kekalahan Garuda, Eks Timnas: Kluivert Harus Diperpanjang | tvOne

Mimpi Timnas Indonesia mentas ke Piala Dunia 2026 pupus setelah kalah 0-1 dari Irak pada laga kedua Grup B fase keempat Kualifikasi Piala Dunia 2026, Minggu (12/10) dini hari WIB.
Bertanding di Stadion King Abdullah Sports City, Jeddah, Indonesia memeragakan pressing tinggi sejak menit awal. 

KARPET01
GUS01
UK01

Saksikan live streaming tvOne hanya di https://www.tvonenews.com/live
Dan jangan lupa untuk follow akun-Akun Sosial Media tvOnenews untuk mendapatkan beragam informasi terkini dan update dari kami:

Facebook - https://www.facebook.com/tvOnenews
Instagram - https://www.instagram.com/tvOnenews
Twitter - https://twitter.com/tvOnenews
TikTok - https://www.tiktok.com/@tvOnenews
Website - https://tvOnenews.com",tvOneNews ,UCER4rvDnRBPr_ncYW4UCZjg,2025-10-12T10:34:53Z,31696,171,322,0,PT11M21S,hd,false
nW3aTF7_r18,Patrick Kluivert Kecewa Berat Usai Indonesia Gagal ke Piala Dunia 2026 I Liputan6,"Liputan6 - Patrick Kluivert Kecewa Berat Usai Indonesia Gagal ke Piala Dunia 2026 I Liputan6

Pelatih timnas Indonesia, Patrick Kluivert, mengungkapkan kekecewaannya setelah skuad Garuda gagal melangkah ke Piala Dunia 2026 usai kalah 0-1 dari Irak dalam laga kualifikasi zona Asia di Jeddah.

Update video lainnya dari SCTV dan Liputan 6, klik: https://www.vidio.com/@sctv

Simak konten Liputan 6 lainnya di https://www.youtube.com/channel/UC1QpnGo11epfexw1bIiTHTg/videos

Perbaharui informasi dari sejumlah daerah di Indonesia, klik: https://www.youtube.com/@Liputan6Daerah

Liputan 6 SCTV adalah program berita televisi nasional yang berada di bawah naungan Elang Mahkota Teknologi (Emtek) Group. Liputan 6 SCTV juga menyajikan informasi dalam bentuk live report dan breaking news. Tayang siaran langsung, setiap hari di saluran tv SCTV pada program Liputan 6 Pagi, Liputan 6 Siang, Liputan 6 Petang Terkini, dan Liputan 6 Malam.

Ikuti media sosial Liputan 6 SCTV untuk mendapatkan informasi Aktual, Tajam, Terpercaya. 

Liputan 6 SCTV Official Instagram: https://www.instagram.com/liputan6.sctv/
Liputan 6 SCTV Official Tiktok: https://www.tiktok.com/@liputan6.sctv
Liputan 6 SCTV Official Facebook : https://www.facebook.com/Liputan6SCTV
SCTV Facebook Fanpage: https://www.facebook.com/SCTV
SCTV Official Twitter: https://twitter.com/SCTV

#newssctv #liputan6pagi #liputan6sctv #liputan6siang #liputan6 #liputan6daerah #viral #liputan6bandung #liputan6semarang #berita #beritabola #beritabolaterbaru #beritaterkini #beritaterbaru #beritaviral #beritahariini #beritaupdate #beritaterbaruhariini #beritapolitik #berandafypシ #beranda #berandayoutube #berandayt",Liputan6,UC1QpnGo11epfexw1bIiTHTg,2025-10-12T01:40:50Z,39620,319,666,0,PT5M5S,hd,false
zLwpiLVqKVY,Skenario Indonesia Bisa Lolos Piala Dunia 2026 Usai Kalah dari Arab Saudi | Timnas Indonesia,"Timnas Indonesia | Skenario Indonesia Bisa Lolos Piala Dunia 2026 Usai Kalah dari Arab Saudi

Peluit panjang sudah berbunyi, dan Indonesia harus menelan pil pahit kalah dari Arab Saudi 😔 Namun cerita belum berakhir! 💥
Kekalahan ini bukan akhir segalanya, justru awal dari misi paling berat — menghidupkan kembali peluang lolos ke Piala Dunia 2026.

Di tangan Patrick Kluivert, Skuad Garuda membawa semangat baru: tak ada kata menyerah, hanya ada satu tujuan — menang lawan Irak! 🇮🇩🔥
Tapi seberapa besar peluang Indonesia bisa menembus putaran berikutnya?

#StartingElevenStory #TimnasIndonesia #PialaDunia2026 #KualifikasiPialaDunia #IndonesiaVsArabSaudi #IndonesiaVsIrak #PatrickKluivert #GarudaMuda #SepakBolaIndonesia #FootballJack #BeritaBola #PeluangIndonesia #AFC #WorldCup2026 #LagaPenentuan #GarudaFight
---------------------------------------
---------------------------------------

Beli Kaos Bola Official Merchandise Starting Eleven! Disini ⬇️ ⬇️ ⬇️
https://starting-eleven-merch.com/
https://shopee.co.id/startingelevenmerch

---------------------------------------
---------------------------------------

*KERJASAMA*
WhatsApp Mas Jo : 0823-2926-1306

---------------------------------------
---------------------------------------

Dapatkan Konten Eksklusif Hanya dengan Gabung di Saluran Whatsapp Starting Eleven. KLIK DI SINI !!! ⬇️ ⬇️ ⬇️ 
https://whatsapp.com/channel/0029VaeKmiKFXUudH8J0zU2S

------------------------------------------------------------------------------------------------------------------------------------------------------------

Sebagian video, foto dan musik yang kami tayangkan bukan milik Starting Eleven. Pihak kami tidak mengklaim video, foto dan musik tersebut sebagai milik kami, karena kami sangat menghormati para pemiliknya.

FAIR USE DISCLAIMER:
Penafian Hak Cipta: - Berdasarkan pasal 107 Undang-undang hak cipta tahun 1976, tunjangan diberikan untuk PENGGUNAAN FAIR untuk tujuan seperti kritik, komentar, pelaporan berita, pengajaran, beasiswa, dan penelitian. Penggunaan wajar adalah penggunaan yang diizinkan oleh undang-undang hak cipta yang mungkin saja melanggar. Penggunaan nirlaba, pendidikan, atau pribadi memberi keseimbangan demi mendukung PENGGUNAAN WAJAR.

Copyright Disclaimer: - Under section 107 of the copyright Act 1976, allowance is mad for FAIR USE for purpose such a as criticism, comment, news reporting, teaching, scholarship and research. Fair use is a use permitted by copyright statues that might otherwise be infringing. Non- Profit, educational or personal use tips the balance in favor of FAIR USE.

Gabung jadi Member! dapatkan keuntungan & konten ekslusif dari Starting Eleven Story:
https://www.youtube.com/channel/UCB8EJAs3Crb0tDg14EeeTRQ/join",Starting Eleven Story,UCB8EJAs3Crb0tDg14EeeTRQ,2025-10-10T06:05:36Z,260803,3042,2018,0,PT10M14S,hd,false
