comment_id,video_id,text,author,author_channel_id,like_count,reply_count,published_at,updated_at,is_reply,parent_comment_id
UgwvRJI8mOwM_LJTX7l4AaABAg,1T__OH0fnD4,Ole merupakan Puzzle terakhir harapan STY,@PSM8229,{'value': 'UCCiuQk__aKH8-9fJUo8o7tA'},31,0,2025-10-12T08:10:09Z,2025-10-12T08:10:09Z,False,
UgxHsjHKnTT8zeyGJQt4AaABAg,1T__OH0fnD4,"Ketum diawal berperan jdi protagonis, tpi skarang berubah berperan menjadi antagonis..",@erwinirawan8707,{'value': 'UC7ZL6u88Bkf8YNsEHMR0V0Q'},14,0,2025-10-12T11:33:52Z,2025-10-12T11:33:52Z,False,
UgwAzkS0o_xrl_5B5O54AaABAg,1T__OH0fnD4,Sya yakin KLO sty yg pegang dengan pemain saat ini bisa menang lawan irak,@UsmanKomeng-d4m,{'value': 'UCQ7qAnQoAngY6Y3-zdl7CJg'},39,8,2025-10-12T08:29:17Z,2025-10-12T08:29:17Z,False,
Ugxc3G--WtlPbXipcNV4AaABAg,1T__OH0fnD4,"menurut saya PSSI mengganti coach STY terlalu buru2, padahal timnas sdh berbenah step By step",@muhammadrezanurabdi4797,{'value': 'UCC4ut9JfNtKvuj1CQUHXYpQ'},26,0,2025-10-12T07:12:34Z,2025-10-12T07:12:52Z,False,
UgyzVSnCuPhVakIaPax4AaABAg,1T__OH0fnD4,"Nasi sudah menjadi bubur.
Tinggal Erick Thohir bertanggung jawab atas keputusannya.",@AbdiAhmad-h2j,{'value': 'UCZFzNAauugm4cAizxGqVDRQ'},19,2,2025-10-12T08:32:10Z,2025-10-12T08:32:10Z,False,
UgyYdY2_eJuuE2qN4e94AaABAg,1T__OH0fnD4,tohir = the real bandit,@maximmales,{'value': 'UCtAP7EdqnBlgLYVAEYMSmYg'},17,0,2025-10-12T07:57:46Z,2025-10-12T07:57:46Z,False,
UgynAk22ZMlV4iWRtK54AaABAg,1T__OH0fnD4,"gaada kata maaf buat erik, arya, towel, justin katob, akmal, dan patrick😌",@evafadilla1510,{'value': 'UCXWIpVp5ARsoyxIcCLhkArw'},18,2,2025-10-12T08:26:54Z,2025-10-12T08:26:54Z,False,
Ugy1Wl7fAC_xfAU4Z814AaABAg,1T__OH0fnD4,3 tahun yang sia sia,@RikoafifS.K,{'value': 'UCaUvmHw9AjAqpbvJOPLLkqA'},12,1,2025-10-12T07:45:31Z,2025-10-12T07:45:31Z,False,
Ugw90yyEcm8xAXswjw54AaABAg,1T__OH0fnD4,Sukur alhamdulillah gagal lolos minimal cermin diri sebelum berkoar-koar,@tripleA-maths,{'value': 'UCi-9ZnPCnPM0c2Y-lFwlfzA'},4,0,2025-10-12T11:34:30Z,2025-10-12T11:34:30Z,False,
UgwloKY0fNTnsu5WrD14AaABAg,1T__OH0fnD4,Mimpi buruk timnas indonesia 😅😅😅,@hermanpolman2280,{'value': 'UC00bEWw1qJLBd4CB9B3P1yg'},12,0,2025-10-12T06:58:54Z,2025-10-12T06:58:54Z,False,
UgyawfQwoCCMjMHpyed4AaABAg,1T__OH0fnD4,"Pemain tidak perlu minta maaf. Suporter paham perjuangan mereka.
Biang kerusuhannya yg masih tetap tak punya malu. Pikirnya minta maaf cukup😎",@Coffee092010,{'value': 'UCjEjQUVTvG4QgLY8hv4MkQg'},7,2,2025-10-12T08:42:36Z,2025-10-12T08:42:36Z,False,
UgzZ1CQQfzYFvNrh-1t4AaABAg,1T__OH0fnD4,"Kesalahan satu-satunya ETohir,  adalah mendengarkan pembisik untuk mengganti STY",@widhione3239,{'value': 'UCYjuK-pHVPpJ02mn7GtR8Uw'},1,0,2025-10-13T00:32:15Z,2025-10-13T00:32:25Z,False,
UgyHwAKfIFX2WaXcR-Z4AaABAg,1T__OH0fnD4,Sebagus apapun pemain kalau pelatih nya gk berpengalaman ya goodbye😂😂😂,@alpindmc9849,{'value': 'UCQLkVRAj85I9UbJ4CFWEWvQ'},5,0,2025-10-12T09:58:35Z,2025-10-12T09:58:35Z,False,
UgzMgdnOTt0UrsKX0Nh4AaABAg,1T__OH0fnD4,Media eropa kaget melihat cara melatih Patrick,@AkuLukman-cg9pg,{'value': 'UCGTcVTIY_xNFGZ0FVdS-7Vg'},2,0,2025-10-12T13:37:40Z,2025-10-12T13:37:40Z,False,
UgyVIycoosD6d3dco0l4AaABAg,1T__OH0fnD4,STY....STY....STY...,@ajiskurniawan8384,{'value': 'UCWKFjlfsccp2tam5JcNopDg'},10,1,2025-10-12T08:42:42Z,2025-10-12T08:42:42Z,False,
UgzpXMEQKr2zTZes7d14AaABAg,1T__OH0fnD4,Pak Prabowo Pak Erick bisa menunjuk Xavi Hernandez atau Roberto Mancini sebagai pelatih Timnas Indonesia ❤,@dheokusumaputra9492,{'value': 'UCcoxYFd1DIre6eSZeBLLJHA'},2,0,2025-10-12T12:53:26Z,2025-10-12T12:53:26Z,False,
UgzOfBv35hL_h0vMjRh4AaABAg,1T__OH0fnD4,Fokus ke piala asia. Berbenah,@arafahzahra7619,{'value': 'UCyhjt5GhskhhBasQQgAPk-A'},3,0,2025-10-12T10:33:23Z,2025-10-12T10:33:23Z,False,
Ugyv81G8qiexKSYYZPB4AaABAg,1T__OH0fnD4,"3th di bangun susah payah, hancur hanya dalam waktu ±9 bulan sejak 8 Januari 2025.

Semua berjalan baik sejak awal, tiba² sirna waktu sekejap karena yang nahkoda di ganti menjelang finish.

#kembalikanSTY",@ardiansyah92-p5x,{'value': 'UCQyrOKiY8ir_PZXDWOSBn0A'},2,0,2025-10-12T13:04:01Z,2025-10-12T13:04:01Z,False,
UgzzKxSRLQCglhgJgU94AaABAg,1T__OH0fnD4,Timnas yakin menang lawan Arab Saudi di round 4 jika STY yg bawa Timnas.,@SaudBurhan-c4z,{'value': 'UCqlxU2gRe5AgMTTwxwI6AUQ'},3,0,2025-10-12T10:08:18Z,2025-10-12T10:08:18Z,False,
